Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,1.499206705361623E-56,1.8114382642909657E-78,0.9,5.390340440831311E-55,1.0,2.027036631866389E-105,2.0969635985527763E-41,1.7696434542799794E-4,1.2317077477634876E-110,1.4028713087868934E-26,3.8502986549536067E-22,3.0460036612428795E-51
1,5.468756486982954E-6,6.480278982083735E-43,0.9,3.188699149525247E-151,1.0,2.899588270716547E-116,1.5050203611557399E-145,1.815179562949472E-71,5.063529817789353E-114,1.980267380832971E-31,1.710631557764646E-68,6.933316722256954E-18
2,4.642590552115347E-51,1.9884558162725795E-17,0.9,6.715955365624003E-75,1.0,2.6530613327558507E-60,2.2343238259127243E-30,3.163301409705054E-76,0.0027389274499534117,1.1741632749507956E-17,9.95882012880246E-15,1.6865349334963268E-14
3,3.829998925305529E-91,3.367467385176005E-17,0.9,9.558682246269506E-52,1.0,1.5684240429131574E-5,6.239985050031259E-18,0.05814973700304011,2.05466766245657E-8,8.471800925410763E-53,1.5926791088519815E-4,6.84183038114676E-12
4,1.1444146831874777E-53,4.997995805289306E-5,0.9,1.4216299677918068E-32,1.0,2.3039640663418046E-28,3.5880511311095166E-6,0.34867844010000015,0.0014555783429306911,5.959216615678038E-21,0.10941898913151243,2.675047592850018E-32
5,1.8989851489810592E-20,4.4981962247603756E-5,0.9,1.1983337701365987E-50,1.0,2.0692937927790097E-35,0.03433683820292516,0.25418658283290013,0.1853020188851842,0.0016173092699229901,1.742693381014619E-5,2.390525899882879E-5
6,1.0753054578045062E-9,2.575854686758999E-7,0.9,1.1121154966316072E-48,1.0,1.0133716178293888E-6,2.3395939717888075E-27,0.10941898913151243,0.38742048900000015,1.0762774769132419E-57,0.5314410000000002,4.479672710644689E-19
7,2.8561617190745424E-14,9.38522686028362E-12,0.81,1.9884558162725795E-17,1.0,0.07178979876918531,3.147429865558621E-42,0.12157665459056936,0.34867844010000015,4.388193070957874E-89,0.38742048900000015,7.134681140738125E-23
8,4.8413072834457696E-62,3.6135926356584516E-33,0.9,1.7141646528076422E-61,1.0,0.025031555049932444,1.0406536448257433E-18,0.34867844010000015,0.34867844010000015,0.01077526366430583,0.5314410000000002,0.005726416897022355
9,2.6049178998368437E-20,2.618053718968988E-54,0.9,1.307320402228525E-10,1.0,0.2058911320946491,1.6900182599825792E-7,0.31381059609000017,0.34867844010000015,1.3689147905858892E-7,0.5314410000000002,0.004638397686588107
10,1.535007604890637E-27,0.01077526366430583,0.9,4.3622325302020334E-7,1.0,0.0225283995449392,1.1433811272836918E-5,0.43046721000000016,0.43046721000000016,0.01824800363140075,0.5314410000000002,6.751551218497473E-6
11,1.7391014849060129E-12,2.9784139647969173E-25,0.9,1.7696434542799794E-4,1.0,0.31381059609000017,6.751551218497473E-6,0.43046721000000016,0.43046721000000016,1.0406536448257433E-18,0.5314410000000002,6.349571197789829E-10
12,3.4266065939217406E-9,0.0523347633027361,0.9,5.29252532807091E-15,1.0,0.008727963568087723,1.5619652929061291E-19,0.43046721000000016,0.43046721000000016,0.01824800363140075,0.28242953648100017,0.10941898913151243
13,0.07976644307687257,2.3395939717888075E-27,0.9,4.5677590745077476E-4,0.9,0.34867844010000015,0.25418658283290013,0.31381059609000017,9.550049507968265E-4,0.001996678111016037,0.5314410000000002,0.16677181699666577
14,0.03815204244769462,5.385472259508683E-7,0.9,2.1802419887646303E-11,1.0,0.34867844010000015,3.180067514517283E-7,0.34867844010000015,0.43046721000000016,0.1853020188851842,0.5314410000000002,0.25418658283290013
15,0.00636268544113595,0.2058911320946491,0.9,2.487709490763459E-23,1.0,0.34867844010000015,0.22876792454961012,0.43046721000000016,0.38742048900000015,0.04710128697246249,0.47829690000000014,0.22876792454961012
16,8.335248417898115E-6,0.04710128697246249,0.9,5.075287860564164E-4,1.0,0.34867844010000015,0.2058911320946491,0.43046721000000016,0.31381059609000017,0.03433683820292516,0.5314410000000002,0.38742048900000015
17,0.001996678111016037,0.06461081889226679,0.9,9.38522686028362E-12,1.0,0.0984770902183612,0.16677181699666577,0.34867844010000015,0.43046721000000016,0.1853020188851842,0.5314410000000002,0.38742048900000015
18,0.1853020188851842,0.2058911320946491,0.1853020188851842,4.5677590745077476E-4,0.9,0.34867844010000015,0.25418658283290013,0.28242953648100017,0.28242953648100017,0.1500946352969992,0.43046721000000016,0.38742048900000015
19,0.0022185312344622636,0.22876792454961012,0.9,2.118708312408859E-6,1.0,0.34867844010000015,0.1853020188851842,0.38742048900000015,0.31381059609000017,1.1293139289205478E-47,0.5314410000000002,0.31381059609000017
20,0.22876792454961012,0.22876792454961012,0.9,0.10941898913151243,1.0,0.34867844010000015,0.25418658283290013,0.31381059609000017,0.43046721000000016,0.2058911320946491,0.5314410000000002,0.38742048900000015
21,0.22876792454961012,0.1500946352969992,0.9,0.10941898913151243,1.0,0.34867844010000015,0.22876792454961012,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.38742048900000015,0.38742048900000015
22,0.22876792454961012,0.22876792454961012,0.9,0.0030432527221704573,1.0,0.34867844010000015,0.1853020188851842,0.28242953648100017,0.43046721000000016,0.2058911320946491,0.43046721000000016,0.22876792454961012
23,0.2058911320946491,0.22876792454961012,0.9,0.12157665459056936,1.0,0.34867844010000015,0.1500946352969992,0.43046721000000016,0.22876792454961012,0.22876792454961012,0.5314410000000002,0.28242953648100017
