Episodes;Reward;Reward;Reward;Reward;Reward;Reward;Reward;Reward;Reward;Reward
0;4.495384677634897E-5;2.8985024748433566E-13;5.382076719465636E-7;7.803495312060195E-5;4.302615501395202E-8;6.85164486069221E-5;3.863782088015475E-8;0.0027372594;1.9775336355832806E-4;2.2034513658013725E-24
1;2.4710616110998924E-6;2.6808299011276183E-5;9.54402816173516E-4;4.4390247720183195E-6;1.157939436469354E-11;5.876918861590909E-4;1.1761636693200204E-10;1.2451385958409893E-20;7.119006853040384E-10;9.67912881462302E-10
2;0.0381280682;2.684071269445877E-5;8.193954861086921E-15;6.851638611761624E-5;0.0096916228;8.458813101195711E-5;3.984209833138132E-6;4.918777573649003E-6;8.458813100940273E-5;4.5655334181352166E-4
3;0.0010604476;1.9398752185278842E-5;0.0017207193;0.0207699846;3.531180523172707E-7;3.038900682065106E-10;0.0044366175;4.465539040539409E-6;6.248930494304863E-11;7.621009999235508E-5
4;0.0022171324;3.926907030080548E-7;8.591942153073151E-4;3.028961144365891E-17;2.3578553801022937E-20;6.970099496302105E-4;9.30072188840914E-14;0.0016593902;1.7415946055296425E-5;2.2412627383998907E-5
5;0.0027823858;0.0055613648;8.597742479826363E-5;1.935105184488697E-5;0.0114488605;4.8997114486560015E-5;5.0205868539700004E-5;0.0011785325;0.0043467794;2.4260386104103313E-4
6;3.537055373321581E-4;1.9940776633375573E-4;0.0056197232;1.0127340483808814E-6;0.0011782752;1.8248756115916228E-9;1.9650307629564339E-4;0.0051511237;0.0204060594;0.0203384523
7;2.8331205438699754E-4;0.0403726773;0.0310313353;0.0113946535;0.0228839505;1.2894541991320945E-4;0.0337383917;0.0109117592;2.3179833866501812E-7;0.0013222439
8;6.851638627165455E-5;7.488816593259231E-5;0.0138128489;0.0096916301;0.0013238484;0.0029941124;9.053836051749457E-4;2.9962484179537697E-4;0.0019248036;0.0047557152
9;0.001995421;0.0936065423;4.5373160981763305E-4;0.0079823785;6.538844241975196E-5;5.075621042111884E-4;0.0011782751;9.544028161704306E-4;0.0156305261;0.048700044
10;0.0030413346;0.0183050146;0.0141863531;0.0386018954;0.0275432172;1.625032029611518E-4;0.0022173413;5.227659202194042E-4;3.201106905615162E-4;0.0450838953
11;3.043041460530393E-4;0.0124954934;0.0296080955;0.0627441851;0.0414295281;1.4330560378574244E-4;9.249381613834724E-4;8.498048489145352E-5;8.341133668652566E-4;0.0098721819
12;2.3370658972628375E-12;0.0038780167;0.0309682579;0.0400674891;0.0128309186;0.0131821056;0.0189397555;0.0271062853;0.0143567662;0.0241025553
13;0.0087001517;0.0482436752;0.0614611751;0.0546347696;0.0543271675;0.017867509;0.0208358168;0.0031177829;0.0423957899;0.0144402185
14;0.0207995029;0.0605841454;0.0856789323;0.0101483538;0.0506399796;0.0694313771;0.0318877346;0.0264131229;0.023468721;0.0147668761
15;0.0606009453;0.0599401858;0.0384040798;0.066746263;0.0206634337;0.0510412239;0.0271817541;0.0582566419;0.0426393454;0.0543551192
16;0.0381280351;0.0088941606;0.0131478637;2.9844289074593605E-4;0.0366617137;0.031359122;4.640115514132626E-4;0.0903411687;9.239961392444035E-4;0.053448842
17;0.0164128765;0.0517099094;0.0372079894;0.0129059498;0.0435533183;0.029500022;0.0212786389;6.637213629805431E-4;0.024220708;0.0041116971
18;0.0250159416;0.0566525988;0.0417502477;0.0152895558;0.0396658027;0.0187873549;0.0730139595;0.0563892802;0.0017280949;0.0015526284
19;0.02507744;0.0360713959;0.1475855326;0.0047049718;0.0466147978;0.0294055574;7.648387615098836E-5;0.0635628656;0.0113509165;0.0166390806
20;0.0548403375;0.0121773202;0.1065515121;0.0587654068;0.0750335437;0.0396166899;0.0185422766;0.1415146013;0.012348673;0.0046487374
21;0.0642245903;0.0386524049;0.111844319;0.022988003;0.0589045222;0.080966191;2.1351379936697498E-4;0.0834147684;0.0038244332;0.0182431202
22;0.0907625331;0.0128272166;0.0265895095;0.0030004888;0.0394882155;0.0184734683;0.0914205687;0.1079385286;0.0068913566;0.0457693571
23;0.0923902688;0.0330245194;0.0689144305;0.0199019016;0.006302054;0.1136128192;0.058201178;0.0591862622;0.0016459526;0.0184222561
24;0.0540983816;0.0478133705;0.0616888364;0.0153207096;0.0604269469;0.0574010391;0.1041493069;0.0745259235;0.0386316156;0.0013298157
25;0.0638066666;0.0286308214;0.0729448228;0.0178677158;0.0395261055;0.0473328704;0.0129488118;0.0635921368;0.0060095074;0.0623324986
