Episodes,Reward,Reward,Reward,Reward,Reward,Reward
0,7.862267865866213E-51,0.22876792454961012,0.016423203268260675,3.1251832809725928E-15,3.2724262616283135E-12,6.421213026664313E-23
1,1.399979825953596E-33,0.34867844010000015,0.058149737003040124,0.0,9.807156282925116E-16,1.2168655343892023E-49
2,4.6234724240194414E-65,0.9,1.2331369952648096E-55,1.7161537330511758E-6,1.0,1.9007017308496066E-68
3,8.318068490159433E-13,8.464149782874062E-5,1.592679108851982E-4,3.620128580614107E-129,1.0,0.2541865828329001
4,7.656148754828992E-39,0.25418658283290013,0.014780882941434611,4.1343892399806945E-189,1.0,7.183628846911248E-153
5,1.1562818275841594E-18,0.9,1.5501306598224718E-198,9.59820754129728E-38,1.0,1.9599435130770584E-66
6,6.368436971351645E-51,0.9,2.354120347120954E-6,2.1381973918410147E-26,1.0,2.9907297513918145E-11
7,4.278109616615114E-22,0.9,0.08862938119652508,3.117943092887431E-125,1.0,4.3392337581687943E-76
8,1.877798066647311E-7,0.7290000000000001,0.008727963568087724,8.016868130831075E-36,0.9,1.5926791088519826E-4
9,0.0017970102999144337,0.1853020188851842,0.007069650490151055,1.0468467881697004E-100,1.0,5.468756486982951E-6
10,6.982671465021158E-45,0.9,0.05814973700304011,7.67692978583439E-183,1.0,3.791662080115012E-23
11,5.553328672543673E-5,0.9,3.699884850351276E-4,2.0233769276448487E-9,1.0,5.553328672543672E-5
12,1.5210164339843215E-7,4.4981962247603756E-5,2.6972160559060804E-4,0.058149737003040124,1.0,6.547477007013802E-8
13,7.960203505214115E-9,0.7290000000000001,4.110983167056973E-4,4.308563295294949E-49,1.0,4.0483766022843375E-5
14,0.05814973700304011,0.4782969000000002,0.06461081889226677,0.04239115827521625,2.656139888758755E-5,0.034336838202925164
15,0.01642320326826068,0.5904900000000002,0.004638397686588107,0.16677181699666577,1.0,0.003043252722170459
16,0.013302794647291151,0.5904900000000002,2.7132677420236517E-86,3.92955818136603E-55,1.0,0.016423203268260675
17,0.018248003631400753,0.22876792454961012,0.1853020188851842,0.02027555959044528,1.0,1.6389353113923277E-9
18,0.0033813919135227324,0.25418658283290013,0.2824295364810001,0.01824800363140075,1.0,1.4978527259308393E-8
19,3.131637955275979E-8,0.7290000000000001,0.01197251518256203,1.592679108851982E-4,1.0,1.270423474759657E-5
20,0.1350851717672993,0.31381059609000017,1.4070395040277194E-67,4.060405092696134E-46,1.0,1.2704234747596574E-5
21,0.03090315438263265,0.16677181699666577,0.007855167211278952,9.261387130997901E-6,1.0,0.020275559590445278
22,0.0017970102999144344,0.5904900000000002,0.010775263664305831,0.01824800363140075,1.0,7.274974452237557E-8
23,0.003381391913522731,0.9,1.8911651525969522E-34,0.005726416897022356,1.0,0.030903154382632646
24,0.007069650490151057,0.7290000000000001,8.335248417898113E-6,6.447764839223438E-9,0.9,0.008727963568087724
25,0.0523347633027361,0.9,3.74935829658292E-10,1.8492008962109133E-8,1.0,1.2847575862046213E-18
26,0.07178979876918533,0.9,0.020275559590445278,0.07976644307687257,1.0,0.1094189891315124
27,0.0471012869724625,0.5904900000000002,2.6916567762526313E-11,0.01642320326826068,1.0,2.2782586118290205E-15
28,0.011972515182562033,0.7290000000000001,2.118708312408858E-6,2.0504327506461185E-15,1.0,0.08862938119652511
29,0.01642320326826067,0.7290000000000001,2.526180947515061E-22,1.6389353113923291E-9,1.0,2.354120347120954E-6
30,3.643538942055904E-5,0.7290000000000001,2.49799620696895E-9,3.7994932828302724E-16,1.0,4.891509796088595E-27
31,0.06461081889226679,0.7290000000000001,0.16677181699666577,4.921880838284655E-6,1.0,0.006362685441135951
32,0.030903154382632646,0.9,6.26578748217798E-4,0.03815204244769462,1.0,0.004638397686588109
33,3.986723479010573E-6,0.16677181699666577,0.2058911320946491,1.1386726985285676E-19,1.0,0.0051537752073201205
