Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,5.442887709785713E-20,7.036137150618163E-17,8.554253378997115E-18,3.4702364895292315E-15,1.2866005480930985E-11,1.2696224674311092E-5,8.975813185703422E-8,2.995017166524056E-4,2.9547058696574948E-5,2.8051300505539798E-22,6.851638611761624E-5,1.45166267091706E-10,2.4323361886012648E-20,3.3772035188005234E-10,4.1633270621269894E-10,2.150116796953541E-5,8.016095115694699E-16,2.2796113765460424E-19,4.2277709175118905E-9,1.0582618663718289E-10,8.194044992003634E-14,1.0912461678356985E-8,1.6379019558053733E-9,4.843869283890328E-7,1.988843655457348E-21,3.7970976863816995E-16,1.425892204746451E-5,9.8212155105207E-9
1,8.458813100940273E-5,2.0107084359717564E-10,2.086185047523477E-7,2.995494181069009E-4,2.4964227037109415E-9,5.1420795142599096E-11,2.993194580460177E-11,4.6195321673865244E-4,4.174429776431847E-18,0.003754733271785415,2.1788673370475416E-11,2.7741928170095745E-7,6.884099505547531E-6,0.002737200544710317,2.3168075396191028E-7,7.629795589387034E-53,2.995017166524056E-4,5.538388876188179E-12,2.384216456078313E-12,0.001454660594681287,2.614040071521929E-6,1.157939469104107E-11,6.958827776429056E-4,0.025015772552770228,9.63182059768413E-24,4.508716655841558E-46,5.385113473592469E-7,0.005722806367154193
2,3.208225154097947E-29,8.451719672731424E-16,0.003076326656522506,8.536622056265078E-25,5.980085218515861E-7,0.0010604475750868628,0.0033792599317408914,1.3895827690807312E-6,2.183387738628395E-4,4.1084556119251446E-4,2.9494057571334577E-5,0.007065193045869374,9.114596492758594E-7,0.0027373694400920443,7.60152631185277E-12,3.975997907878401E-13,2.8484777234715893E-21,2.407728921446585E-17,1.1170768435828382E-4,1.269741870495603E-5,0.0043109857490947895,4.0458240838648196E-5,4.918777571775471E-6,3.697552057646154E-4,4.5561958705908576E-11,1.160667131805883E-6,1.6379019558054405E-9,1.6129584222502574E-10
3,7.13964865197449E-6,1.415399779843619E-13,1.6889822702942668E-7,0.0037547333750745184,2.995017234899222E-4,9.544086158219957E-4,0.001468844417084901,0.0017958775505401902,4.77786860690389E-6,0.004172183266353245,2.1373210419664148E-7,1.4332497016541408E-4,5.8892788161248526E-8,5.005925766615187E-5,1.8480349675439275E-8,6.851638611761621E-5,2.425963904901084E-4,1.0127326827746265E-6,5.455003957090062E-7,0.002217180143062002,1.7150716920145346E-6,4.524432401134489E-5,2.1501167969506803E-5,0.0011764806750444886,3.9154833092924574E-14,1.3893033133141698E-6,4.045824095089962E-5,1.0582921586705771E-10
4,3.1416415986072305E-10,1.2521212593449968E-4,1.0449522485758728E-4,9.144967130035727E-4,0.0017961347004442627,8.958551117420545E-13,1.8161533918707628E-5,6.175450537684642E-5,4.485794938305237E-6,2.6829041631608514E-4,9.580617500988168E-6,0.0030414147206506985,4.108395268257791E-4,1.2916411640454248E-6,9.236471014680258E-13,2.3641187218301877E-14,5.582113022682695E-5,3.2799437360134995E-5,1.0516139986141865E-5,1.4424921682291763E-5,0.004574840763308756,8.133222060378296E-5,3.6412547404345326E-5,0.055038971257220785,5.078067955514735E-4,0.001624001499731871,1.3282855969700066E-9,0.006501989917403566
5,1.5435685593360333E-6,0.011965885876142232,0.01870568234848488,0.0164128554094563,0.00690912638636552,0.006913961189582259,9.549647835982698E-5,0.0019728820562791636,6.702807595627697E-4,0.004748187387080226,0.01835253773412877,4.594631657940017E-6,0.019815180956978817,0.0010704838401513624,0.0018019498516670407,5.077470075640703E-4,7.108195200693549E-4,0.004172363264481057,2.6544651814791468E-5,8.506437382533107E-5,1.2670056261384469E-12,0.01293678522424744,0.027805586774795537,0.004052467659122246,0.0464662119842395,0.001183193859263619,0.020262776339466358,0.0030425842715228143
6,0.0027372005479863594,0.01657524722380253,2.052686323871212E-4,0.002437964680520517,0.044178077026885504,6.251083941171429E-5,4.8180810900080126E-5,0.025015828029971265,2.544781807322797E-6,0.021809913794123278,0.024674206423012907,0.006483046818326445,0.013929845304544919,0.07208761956528971,2.171054420672453E-5,0.04873851502547247,0.002503955363392398,0.03276956498289828,0.002026459902596116,0.0036231411482759734,0.0010604510075382426,4.134406565471437E-4,1.1603313842183859E-4,0.006212065496113855,0.0028261300170613853,0.042364430526211284,0.016476228188923647,1.7711097512946488E-4
7,0.03319497680620322,0.1050600199383271,0.057136019355251776,0.03824427797130975,0.07170880270515116,0.002323612109318317,0.03139155652731385,0.02521382991930327,0.006358861402760097,0.0456553374451594,0.03737842316333812,0.024629291028753122,0.027201130095945537,0.04971293697865287,0.01203348311527757,0.06403357847255019,0.059533944822184603,0.11715432396801433,0.005235145158083502,4.108738965976949E-4,0.0013218907667249874,0.05505205823351214,0.03434195026776756,0.05903655587503189,0.006788014082348911,1.9056721114491623E-6,0.05266733184600835,0.01698870119339771
8,0.02132322859491602,0.0923783114383252,0.04313761296404861,0.09215524955325878,0.08472886319723542,0.026698346569914516,0.027766270518347135,0.08377223916395604,0.007091210951283746,0.06490801775519396,0.11768062189969858,0.04805970657357234,0.07628962466169044,0.010650599679899939,0.05328545444049886,0.04712517100680022,0.09251551195027415,0.04515234012420758,3.8281208283562807E-4,0.03197089374517116,0.08009706936176865,0.04286995519773462,0.030023661812472943,0.04125494341966748,0.02097369873329552,0.010817470172231647,0.02671833943000719,0.0023017840808403816
9,0.10206176468916923,0.09111760284229503,0.01660043961894264,0.0355191430014807,0.14229432744288836,0.05619019528274824,0.06560840299960437,0.10477448913750952,0.02763043394173341,0.13348576921279756,0.09993106388409372,0.06311355607471682,0.04886323242668592,0.15372284141467316,0.0841542739253426,0.09654828070558485,0.06916135037786564,0.08979416582912471,0.10346740075460768,0.03177533925195523,0.022514248295675537,0.1528378258254456,0.07788234620453262,0.08310578835175468,0.06791033926277457,0.0786084742170431,0.09273579507349054,0.054518898501818264
10,0.15084199017965144,0.14607537141122792,0.07689489078263458,0.11847240194048864,0.1054572274918751,0.1889359978896724,0.07828520450463301,0.22546522459127052,0.09561957227040485,0.13379439650075553,0.22573144201796494,0.22055816864000158,0.13495851559870656,0.18809236722489095,0.09169460682527841,0.14404329586862574,0.13884265879984511,0.11525144280622505,0.15859067690313658,0.12099005137528542,0.08473208888406525,0.1987827298061489,0.09298917973213676,0.14854109214681085,0.14923416137964865,0.024597314689498984,0.13305661613646189,0.11461681656809604
11,0.2540602692386045,0.2521515792303298,0.20068456284753886,0.21618611870638696,0.18284342883729865,0.2078737907956778,0.11478047464679066,0.23186945045085935,0.12093421095613999,0.24001208939391985,0.232012350498227,0.31607700595065014,0.20314166212545162,0.2433508772891325,0.21214360328598478,0.2847623894080089,0.20544103398663507,0.19580331599660736,0.21089234543392918,0.21574019387908042,0.09646269958872723,0.27177101769787665,0.1880653390379314,0.291839844561639,0.20475453974864544,0.1806865887554987,0.23753956995418615,0.15555303240036858
12,0.2616965817208529,0.2960919200255852,0.26377523993565544,0.18646200528237214,0.29086174342408516,0.31383907149594165,0.25496648894039026,0.3149728575570001,0.20487073288722357,0.22871436832862022,0.2695713158341251,0.2579639326046876,0.2428396758868284,0.25216761405392035,0.25478793712695774,0.3170707395049352,0.19561734885937446,0.2778061184783475,0.23546318917416698,0.24629483063231206,0.2313341638832074,0.21216358411329297,0.218087367260451,0.30555853967430013,0.28671889706558557,0.1754764992393897,0.21136507025916015,0.19225029999339682
