Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,4.412655706025201E-68,6.529862183526619E-15,6.644539131684285E-7,4.847665866804154E-7,8.12960748817185E-8,2.7315588523205465E-10,5.6240374946171345E-11,1.9271364359252826E-19,4.4860946272533585E-12,2.958168997897694E-46
1,3.22720996484227E-6,6.382826576408465E-5,0.0037548142,1.0824706098071844E-4,3.984210274915717E-6,0.0063586738,3.7658892781429555E-44,6.24893049430486E-11,5.2893618109306974E-15,4.026450538686069E-20
2,3.083976364503247E-23,3.539014554961086E-7,5.382081114439728E-7,5.348865962033568E-28,5.220804954893362E-9,1.9351051174600725E-5,5.967765082498172E-14,0.0132944072,4.227711239724989E-9,1.2866175352537269E-11
3,2.453353816668237E-6,7.458895367003675E-5,4.2930911517628244E-8,5.289188372803001E-15,3.0820015033822948E-9,6.644562972631997E-7,7.612932594748066E-5,2.5036437339910715E-6,5.121840786869864E-10,1.1252609252711294E-6
4,7.712750941331375E-18,8.589659589994578E-4,4.648663746306647E-6,7.736044887676845E-4,0.0024634806,8.589625614529497E-4,1.3302803785216807E-37,4.2189974537957966E-16,0.0019954192,3.2771448260890356E-5
5,4.479262710285248E-12,0.0057231595,0.0027632081,0.0087985899,2.1788673370475756E-11,1.2502872780355755E-6,2.6644544077787053E-5,0.003790099,5.465611919627091E-6,7.535638365751923E-6
6,9.4013356537437E-5,4.566755697362781E-4,7.62401300948767E-5,0.0087226126,3.7076794035767235E-4,1.7416002297720012E-5,0.0147719194,0.0352699447,0.0051575908,4.918876085706421E-6
7,6.261921437001441E-9,6.677721703932817E-14,5.635751401359656E-4,0.0087238498,1.9650307650694414E-4,0.0024773695,0.0027699971,0.0116870458,8.330008892758398E-6,1.0824706098071844E-9
8,0.0165566852,2.6962433458187966E-4,0.002477588,0.0066073037,6.957596529916866E-4,0.0428716394,5.772084424002695E-9,0.0183050146,3.698285944163595E-4,5.113007343215509E-5
9,7.754246189853874E-4,0.0183191215,0.0225167026,0.0428461344,0.008550596,0.0024684127,0.0078502145,0.0014760374,2.978141594377201E-5,0.0184241211
10,0.001597928,0.0028743202,0.0470747418,0.0018065571,0.0058050105,0.0212778336,0.0182372365,4.113788648516217E-4,0.0062634826,3.272572255848373E-4
11,0.0017602336,0.0225191141,0.0423644558,0.0010707343,0.0177904973,0.0322059179,0.0308837806,0.0119765045,0.0343376755,0.0124554781
12,0.0041344447,0.0030830049,0.0135128057,0.0357842459,0.0252344271,2.764804070345439E-4,3.5120261192131424E-4,0.0219458192,0.0153978127,7.363022796151391E-7
13,2.0894952923906118E-5,0.0118580239,0.0329356021,0.0289543795,0.031050067,0.0010101669,0.0423644305,0.0156321008,0.0136232089,0.023644754
14,2.275865771599131E-4,0.0221637837,0.0422178146,0.076679937,0.0477528489,0.0178318202,0.0310397122,0.0015434801,0.0613069186,0.0216157581
15,0.0046368032,9.691798393276781E-8,0.0428487174,0.0031796424,0.0426407293,0.0049024058,0.0113648063,0.0166386124,0.0755009148,0.028379963
