Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,3.261060886382942E-177,2.6049178998368437E-20,0.81,1.0894049256829213E-118,9.897368062754432E-36,1.5893964098094157E-11,2.402580604506597E-39,4.836934950760456E-14,1.1765883620056724E-10,9.410701115894585E-156,3.131637955275979E-8,1.535007604890637E-27
1,9.288904458867618E-47,1.538177970674658E-20,3.9621229348317625E-27,1.8546952208340242E-49,1.0,4.901612596387639E-20,3.238840716955896E-47,2.0778503537726203E-21,1.9680479090174516E-52,4.088261630570878E-176,3.986723479010574E-6,2.1118908120551183E-68
2,6.566930796059979E-49,1.0363682465202271E-32,0.81,3.1015045234371647E-194,1.0,2.615689274578838E-6,4.273151142817472E-77,2.318269218083099E-7,2.8502748337072976E-21,7.983854771127566E-50,8.20831010441805E-7,5.880583697856567E-15
3,9.166335720714351E-41,1.7212527494597588E-47,0.6561000000000001,4.393285036964726E-34,1.0,6.440291661611404E-64,3.518857819391725E-21,0.0984770902183612,0.0030432527221704573,4.642590552115347E-51,2.6916567762526297E-11,0.0225283995449392
4,4.2254753591832425E-64,3.986723479010574E-6,0.9,2.4075428335650163E-32,1.0,1.6900182599825792E-7,4.09405419132551E-18,4.5677590745077476E-4,0.0041745579179292966,1.672673275182339E-42,2.2409624233944097E-71,1.6830587865558223E-21
5,1.8989851489810592E-20,3.63838380250537E-163,0.9,9.598207541297292E-38,1.0,1.2715718702083085E-53,3.3466880332555957E-38,0.01824800363140075,0.030903154382632643,2.0396223605362166E-84,3.036980220232162E-10,4.09405419132551E-18
6,8.962938115922215E-15,1.9478494520679963E-87,0.9,4.195608960562933E-37,1.0,2.6530613327558507E-60,4.148798319344721E-24,0.10941898913151243,0.042391158275216244,1.676127972150998E-35,0.13508517176729928,3.5880511311095166E-6
7,3.661912215373566E-39,1.1610630703530947E-4,0.9,8.20831010441805E-7,1.0,2.487709490763459E-23,5.29252532807091E-15,0.34867844010000015,0.01077526366430583,5.211924942154006E-16,0.5314410000000002,3.180067514517283E-7
8,1.1898637375327413E-23,6.381590179588096E-44,0.9,1.7530645068611967E-87,1.0,4.5677590745077476E-4,1.849200896210913E-8,0.07178979876918531,0.030903154382632643,5.2598671806382796E-36,0.47829690000000014,1.4115816386218418E-5
9,9.677749120240556E-10,1.2244209673807553E-28,0.9,4.106218398469167E-59,1.0,0.0030432527221704573,9.316503545908213E-88,0.38742048900000015,2.1514733098945913E-5,1.3275376022277854E-9,0.5314410000000002,5.468756486982954E-6
10,1.0997075625282702E-35,0.00338139191352273,0.9,2.375774879823355E-26,1.0,0.31381059609000017,2.4274944503154723E-4,0.43046721000000016,0.07976644307687257,0.005726416897022355,0.5314410000000002,0.10941898913151243
11,2.2782586118290197E-15,4.402358816479736E-27,0.9,1.5893964098094157E-11,1.0,0.1853020188851842,4.590792912559116E-38,0.43046721000000016,0.43046721000000016,2.0778503537726203E-21,0.47829690000000014,0.38742048900000015
12,0.009697737297875247,2.9063214161987086E-6,0.43046721000000016,1.0919346372035822E-8,1.0,0.22876792454961012,1.1610630703530947E-4,0.43046721000000016,0.43046721000000016,4.5677590745077476E-4,0.43046721000000016,0.31381059609000017
